sex,age,height,index,amount
1,79,204,439254,662539
1,76,175,512282,117041
1,34,289,889728,999857
1,80,24,84374,557859
1,1,263,879035,252456
1,27,300,407875,408861
0,6,241,489578,426153
1,8,156,688614,502968
0,58,84,34921,419525
1,86,255,247529,24690
0,6,10,235345,114607
1,78,279,286148,436694
1,89,72,84145,231192
1,9,22,281064,819216
0,36,290,83251,440738
0,35,220,524578,4101
0,18,39,376349,240228
0,24,122,433106,468927
1,26,192,502612,790820
0,82,39,472286,154413
0,30,295,677602,639313
1,16,210,204165,645045
0,10,170,755173,150918
0,8,116,295261,297408
1,36,59,780665,752823
0,9,169,897860,260544
0,19,200,650708,948878
0,35,158,555093,198019
1,43,219,360948,62608
0,95,71,638903,347925
0,56,51,864240,297126
0,21,283,630840,518957
1,73,51,373700,941088
0,46,267,153642,163188
0,79,232,39855,588213
1,90,57,850863,210248
0,86,141,864567,83087
0,30,223,837863,948936
1,88,96,585917,346746
0,2,198,862976,277960
0,12,188,472829,231927
1,2,263,175084,847273
0,64,65,662407,400246
0,44,63,654417,152676
1,55,24,717264,703955
1,72,0,58889,641738
0,19,232,88611,778561
0,94,286,636130,351061
0,12,84,699617,401711
1,50,255,32204,863219
0,33,278,965851,735192
0,27,2,581973,751176
0,9,149,452193,952918
1,33,267,758372,50523
1,78,176,879905,864223
0,45,138,672454,11496
1,14,67,803658,775363
1,18,219,944171,324260
1,12,98,514994,529180
1,37,246,741769,672429
1,74,248,509636,838707
1,49,131,251528,927500
1,98,230,666473,371741
1,85,221,772683,955600
0,42,291,47997,523230
0,68,262,91610,435416
0,53,142,788148,168519
1,10,88,365755,427794
1,61,274,410500,655426
0,19,144,580493,282290
1,69,156,608170,325072
1,93,155,815206,631476
0,56,52,552498,481663
1,1,0,136760,522685
1,32,103,408180,114979
1,62,153,998514,902513
1,85,262,390318,270259
0,84,134,972455,925300
1,22,84,211816,936666
0,75,134,772024,529536
1,69,254,814729,751493
0,34,234,542601,908081
1,19,237,451641,392203
1,40,267,492404,235402
0,7,198,531843,780738
0,48,37,888619,575388
1,63,66,916988,239067
0,83,263,545778,145602
0,36,166,587761,712041
0,69,53,288415,512802
1,17,14,45749,277718
0,3,162,893827,613580
0,43,106,555161,724867
0,63,136,181524,514118
1,44,295,668217,286571
1,11,48,397012,283569
0,43,88,427462,797826
0,15,255,840344,862552
0,37,220,326309,949003
1,84,156,206922,915317
1,40,185,205556,337008
1,12,239,319375,222974
1,55,256,219363,996774
1,97,240,993718,394962
1,21,41,683064,281122
0,62,3,997674,287855
0,96,213,225853,684180
0,47,49,264178,682825
1,28,136,992129,246482
0,97,279,909744,848308
1,80,25,337236,382770
1,32,188,637595,379013
0,5,212,224051,339184
1,2,204,895086,499694
1,9,28,284550,970421
0,80,75,537595,331324
1,46,272,18878,778959
1,12,52,321376,938741
1,86,208,167056,826245
1,44,137,685319,975684
0,4,59,69075,633823
0,32,10,887938,683287
0,39,102,579070,407836
0,92,119,722188,817995
1,10,17,245547,954984
1,28,263,937276,233428
1,64,184,911990,961500
1,4,28,909183,442772
1,76,285,322824,903981
1,88,178,958401,785704
0,83,39,723869,241400
0,3,289,780344,753737
0,15,25,160485,684980
0,32,114,444332,668068
1,92,46,625390,28946
0,64,185,100799,38210
0,11,228,454881,335984
1,69,118,521088,413282
0,2,87,454884,254840
1,78,96,526020,662269
0,76,68,416834,657762
0,8,107,470372,145213
1,81,284,670467,549617
0,5,226,942276,677410
0,12,95,240311,969182
0,71,52,937330,388902
1,73,114,209623,410169
0,69,100,643940,317177
0,32,225,54216,28909
0,54,77,866428,765922
0,5,147,996510,826012
1,16,156,504194,931359
0,25,64,224861,87479
0,11,280,873153,986083
1,15,288,568912,850476
0,44,186,12930,927693
1,81,90,297938,14924
0,49,35,171255,409357
0,31,294,879193,527849
1,8,82,788165,856533
1,8,75,545624,427547
1,31,148,360272,782710
1,40,12,80323,468217
0,9,38,505787,12926
0,44,29,386944,666780
1,47,210,309467,333727
1,12,226,104012,250924
0,54,137,913651,293182
0,13,126,615401,531035
0,87,80,602717,717342
0,93,35,896372,832126
0,15,230,14043,390291
1,65,159,42662,47429
1,73,106,136705,765850
1,70,82,325308,47743
1,6,18,934104,768102
0,20,96,536753,551955
1,67,253,915038,359514
1,35,241,685885,738210
1,79,7,464954,476149
0,82,129,549601,876947
1,86,74,720120,423617
1,66,196,980137,325986
0,51,203,699010,33473
0,33,287,533891,400112
0,92,98,560882,519103
1,92,149,892380,779854
1,59,274,892772,740117
1,30,54,635377,91630
1,25,285,726346,738647
1,50,30,769427,724982
0,74,151,631526,878039
1,92,244,693252,1580
0,72,177,134341,499579
0,20,49,884736,450707
1,58,94,945481,233050
1,46,86,261952,998759
0,19,184,18767,810609
1,94,130,408562,815952
1,94,261,709106,190667
0,63,81,899965,172156
0,34,89,236547,217187
0,69,254,980107,18376
1,17,286,237820,488282
0,48,239,472941,440647
0,91,158,81591,418118
0,82,110,749395,406615
1,60,75,480929,719431
0,81,60,929902,400909
1,3,95,123319,933817
0,3,22,502239,600830
0,61,141,229222,761938
0,98,293,913918,127488
1,94,3,886893,804651
0,41,108,57476,874834
1,88,19,503231,83418
0,53,107,56128,279158
1,96,204,445477,442036
0,10,229,831619,147141
1,76,127,551966,989652
0,100,220,579319,133047
0,63,244,569285,108785
1,51,66,277065,420665
1,80,127,445805,398671
1,71,295,196809,459113
0,3,37,76873,823736
0,49,295,456776,629300
1,78,87,13788,138953
1,10,71,711216,711992
1,32,228,594522,724916
1,14,140,185062,310941
0,53,86,166988,626619
1,29,278,757672,430686
1,8,26,18719,165354
0,73,96,169239,978278
0,21,123,787940,233919
0,45,39,311630,375253
1,5,152,219358,612412
0,15,169,360861,76123
0,27,270,53665,775970
1,98,157,356313,64746
1,64,207,435402,118848
1,83,288,7367,732539
0,7,147,904747,999597
0,55,195,989862,470692
0,5,121,181612,257172
1,32,44,200835,347252
0,60,217,353026,103325
0,99,71,690726,134026
0,13,130,660537,749984
0,69,242,863579,543207
1,44,216,83342,269357
1,85,87,32243,125557
0,53,182,194403,139784
0,56,25,972905,275053
1,59,111,838236,384129
1,93,219,561212,697731
1,50,35,722658,760990
0,74,127,377600,785701
1,81,220,269447,61525
0,57,43,731565,619553
0,65,288,227574,124360
0,97,56,954536,780950
0,78,290,709205,797257
0,52,130,92047,53704
1,4,8,64200,393634
0,15,184,547834,21699
0,5,291,63934,428403
0,89,87,939973,809014
1,29,17,565649,835161
1,61,297,932730,166410
1,95,158,741684,160169
0,97,234,730372,488453
1,60,134,394573,864200
1,67,85,555081,92313
0,14,259,622111,447829
0,0,124,876918,312035
1,13,269,662433,59549
1,52,237,249351,992694
0,22,159,453635,106720
0,18,233,447599,325001
0,54,188,873474,648367
1,53,78,904798,400487
0,7,231,44352,644975
1,43,125,418978,1118
0,99,85,651522,993868
0,31,286,891678,387166
1,96,157,466157,468437
0,100,179,626078,116852
1,58,48,737237,597438
1,43,224,268962,796028
1,23,226,323079,700368
1,68,102,313707,308484
0,21,23,866175,979381
1,79,118,72523,528001
0,48,176,532204,992876
0,32,104,28647,878377
0,53,195,879978,570224
0,25,294,204168,300175
1,57,118,327853,902152
0,86,250,232565,590825
1,29,38,371509,46569
1,57,168,80947,337532
0,18,62,609333,208780
0,77,278,544771,622080
1,86,217,150330,39733
0,28,80,60689,287
1,70,279,179075,384922
0,68,296,385755,259768
1,22,267,866457,299632
0,28,41,424377,739377
0,75,19,779380,821799
0,60,253,961856,254591
1,2,214,825154,465987
0,89,261,195859,689344
0,38,126,981160,630246
0,47,142,5561,561808
1,88,281,184898,60659
0,71,46,952231,839819
0,30,0,137674,768360
0,53,263,851302,268380
1,43,273,371603,735895
0,36,73,79638,494185
0,59,188,464152,348053
0,42,124,322454,260777
1,6,45,153798,997561
1,30,205,554444,490825
0,21,203,866489,787793
1,77,212,981366,412847
1,67,143,715541,72535
1,40,94,994898,675825
1,65,141,511213,512372
0,81,4,382790,7576
1,83,39,967183,831129
1,72,237,181143,420790
0,46,92,449210,334167
1,44,135,93909,5687
1,35,78,651986,718252
1,22,25,480263,624910
1,19,201,662359,593660
0,4,133,62193,221221
1,11,176,30622,532758
1,33,182,737290,200306
0,60,117,487061,596418
1,6,220,458070,817042
0,59,160,958833,270209
0,63,83,600806,761697
0,22,127,263973,648508
1,15,220,526290,298474
1,59,132,198882,880989
0,3,171,9200,604551
0,82,167,858755,871822
1,3,277,517511,370615
1,80,40,49214,735790
0,67,53,434535,588723
0,61,15,866306,565562
1,3,273,96984,667459
1,9,114,391952,499064
1,49,267,441562,460915
0,18,274,760359,677333
1,35,66,208338,718300
0,16,52,177517,862015
1,95,17,229710,427647
0,28,111,471389,848584
0,48,129,327103,552544
0,66,88,804149,47381
0,97,71,623445,972340
1,99,151,86045,949990
0,10,110,915412,752488
0,87,72,767271,932180
0,34,228,539415,489697
0,73,277,108325,466910
1,99,144,348949,567534
1,89,84,512007,133614
1,97,30,739061,853440
1,53,229,609283,533969
0,13,219,903549,740402
0,32,176,625429,663777
1,31,237,779095,989569
0,31,11,3801,128179
1,52,18,496087,244634
0,65,144,95630,198235
1,20,44,847099,117045
0,9,167,295623,749403
0,75,49,696751,759888
0,81,3,963755,804223
1,50,300,857460,64643
1,49,83,516391,163371
1,8,96,82167,670705
1,70,37,754665,192611
0,6,134,528747,456334
1,52,241,509450,249867
0,45,117,232435,253603
1,69,148,361455,854111
1,24,25,869655,814536
1,1,39,180123,212429
1,26,65,33014,443352
0,41,34,49134,463434
1,46,116,258313,956111
0,11,171,742734,504273
1,92,146,5384,30456
1,39,222,810706,228733
0,97,269,194396,491884
1,14,248,885780,69040
1,49,26,320582,896598
0,79,208,590776,149489
0,6,49,677797,847733
0,37,199,125051,210628
1,73,17,179913,654944
1,98,50,275926,352663
1,78,131,966250,912397
0,43,12,813653,668799
0,51,78,923405,975129
0,38,129,633803,350337
0,78,67,529301,865827
0,57,130,882024,471302
0,25,110,210906,713456
0,49,201,91360,551587
0,27,121,806224,522915
1,5,98,132548,562528
0,56,194,50531,835859
1,65,188,637787,337881
1,34,33,353538,949481
0,87,207,767834,750374
1,59,267,372917,126548
1,81,164,180043,900025
0,27,73,581339,868455
0,100,155,180112,641794
1,37,75,387421,74734
1,99,202,339838,831908
1,41,120,716874,476784
0,74,82,946127,288556
0,85,185,724403,81290
0,19,102,702684,853233
0,38,32,990772,465542
0,12,85,334347,637371
0,80,224,966572,25521
1,37,183,400699,41045
0,80,150,704355,819798
1,66,298,158375,900586
0,37,291,727391,880610
1,40,45,895882,945663
0,61,3,700063,688526
0,32,22,847704,280992
1,56,114,612064,990312
0,44,288,59887,190792
1,97,142,892003,88482
1,93,138,799243,356177
1,49,12,81030,100088
1,41,188,22215,464416
0,47,127,5496,587622
0,83,147,462929,764148
1,38,287,819713,740556
1,46,84,396480,744356
1,26,300,463518,688766
1,85,172,578468,4152
1,26,86,170265,308222
1,16,239,219692,711890
0,53,66,281452,768798
1,76,8,20518,956634
1,50,222,874876,67936
0,6,101,528851,32672
1,10,127,189266,144889
1,29,110,127400,288421
0,13,284,41133,813464
0,44,156,180742,698387
1,44,154,481987,792422
0,25,61,114382,671373
1,40,95,982875,215048
1,33,256,934700,849528
0,2,22,660804,538146
1,72,111,202800,841518
1,48,16,624128,883721
0,60,249,104075,287036
0,77,149,648131,301932
0,87,78,805373,132575
0,45,228,39083,456472
0,35,20,677518,500718
1,42,29,326758,516038
0,31,36,561668,876275
1,27,57,57639,203386
